unique_id,ds,y,MetaARIMA,AutoARIMA,SeasonalNaive,Moirai2
T000000,1979-12-31,915206.0,855112.6357598004,917449.8458979881,675046.0,872602.0
T000000,1980-01-31,1282970.0,1829393.3302837925,1624284.7080106963,2196870.0,1545154.8
T000000,1980-02-29,1267910.0,1240246.284178858,1119655.862549666,1330660.0,1332513.6
T000000,1980-03-31,1206720.0,920566.2644319907,945417.560228575,894202.0,1138255.4
T000000,1980-04-30,1406860.0,1693096.7187301363,1382986.493258842,1972540.0,1504882.6
T000000,1980-05-31,688207.0,1466808.8873942622,1461899.9625597652,1656590.0,1266991.2
T000000,1980-06-30,516501.0,1125843.8070356043,1163879.9393683805,1179180.0,1149231.9
T000000,1980-07-31,1378010.0,1669016.6586571084,1419171.6573734605,1939450.0,1516162.5
T000000,1980-08-31,840271.0,733555.2560280291,843414.6131825006,630177.0,943279.0
T000000,1980-09-30,437741.0,935852.4022725231,1014526.1563163825,913313.0,1131312.1
T000000,1980-10-31,556951.0,1439342.5099768532,1365816.728813433,1617990.0,1189366.0
T000000,1980-11-30,700000.0,727762.8754242833,879510.5242266089,622073.0,991426.0
T000001,1985-02-28,277.88,260.0133798396952,268.31727626928233,131.1,256.87286
T000001,1985-03-31,306.03,257.4458391924286,283.3764939323747,125.26,247.5795
T000001,1985-04-30,308.76,254.83908501151785,282.792263623733,121.02,235.18832
T000001,1985-05-31,273.65,252.54177589674924,281.9009345094662,119.56,225.32378
T000001,1985-06-30,264.44,254.5119322205754,279.72580982296626,119.31,214.01913
T000001,1985-07-31,252.76,268.0100502377004,272.8268352654254,137.35,202.92178
T000001,1985-08-31,260.59,277.9589987994485,267.1815715063326,152.05,192.70721
T000001,1985-09-30,258.14,285.03890156686253,262.83651089618434,161.14,184.27545
T000001,1985-10-31,263.29,280.9888758645856,263.1055995524962,151.96,176.19775
T000001,1985-11-30,253.5,300.75189705704526,253.08996291874703,186.11,169.76436
T000001,1985-12-31,256.08,302.366873346352,250.78803342465918,188.91,165.11649
T000001,1986-01-31,249.28,344.0317559468367,231.9184116259571,256.66,159.88297
T000002,1986-07-31,1018.0,932.9341109882942,929.7944067699948,915.0,921.6874
T000002,1986-08-31,945.0,877.7578331612843,866.7520841007578,762.0,879.35364
T000002,1986-09-30,952.0,910.052533396675,896.3765783631716,775.0,924.46436
T000002,1986-10-31,916.0,837.1236840244353,818.7420602023368,742.0,826.30524
T000002,1986-11-30,317.0,494.3708022890445,469.78960347474595,362.0,541.75214
T000002,1986-12-31,817.0,855.9002340837769,831.9151106030673,832.0,841.7229
T000002,1987-01-31,825.0,908.117316309602,876.0115055550629,754.0,987.18195
T000002,1987-02-28,624.0,932.8529568498009,902.6198201422153,886.0,956.79926
T000002,1987-03-31,533.0,919.7302754755995,887.6408235271325,833.0,866.2996
T000002,1987-04-30,611.0,879.4460345938419,844.441239040056,859.0,864.6399
T000002,1987-05-31,698.0,963.2831841599956,930.5216095660419,1006.0,901.87317
T000002,1987-06-30,695.0,987.879919088192,950.0525097061361,938.0,939.1587
