unique_id,ds,y,MetaARIMA,AutoARIMA,SeasonalNaive,Moirai2
T000000,1993-08-31,6857.8,6596.216690779869,6667.752786899724,6611.115,6826.524
T000000,1993-09-30,4346.09,4306.520052662829,4227.479462433336,4150.2395,4334.239
T000000,1993-10-31,3154.73,2975.8311878845593,2969.658623326873,2841.0,2926.6392
T000000,1993-11-30,2142.21,1854.537554920838,1938.663653589015,1813.44,1905.5681
T000000,1993-12-31,2375.725,2441.0427105207586,2371.430480886811,2261.08,2320.8047
T000000,1994-01-31,1981.11,1929.2813150116222,1933.6487025814208,1873.605,1839.3638
T000000,1994-02-28,1959.865,1777.5919905653554,1825.73581128005,1772.84,1708.895
T000000,1994-03-31,2466.31,2172.1281707105263,2127.778662050185,2049.565,2109.141
T000000,1994-04-30,2851.715,2950.697343344984,2928.087200227882,2932.265,2804.0073
T000000,1994-05-31,3671.805,3133.8270219808105,3163.919252064916,3113.255,3208.5757
T000000,1994-06-30,3806.78,3564.7199047930117,3525.3590975710686,3461.505,3638.6624
T000000,1994-07-31,6995.05,6219.1109187451275,6255.347580660485,6265.74,6598.088
T000001,1993-08-31,185953.0,189979.34361465205,188581.6841659037,176215.2,196133.53
T000001,1993-09-30,171384.6,166333.83474431367,164959.88034060816,160025.7,167621.31
T000001,1993-10-31,169834.5,154182.82819711277,154165.47777945703,150995.5,152709.77
T000001,1993-11-30,125275.4,112226.39578480154,113623.39989763038,112002.6,110287.11
T000001,1993-12-31,90986.6,93517.5221089805,93846.52772987788,85668.59,96740.664
T000001,1994-01-31,100422.4502,111506.80858906564,112431.99701509153,107283.1,112750.984
T000001,1994-02-28,94333.93611,93588.77528971048,94104.34462252927,86953.77,95773.52
T000001,1994-03-31,109861.6957,99699.34539341828,100495.55771118969,95141.96,99112.43
T000001,1994-04-30,116636.7445,111348.20862039027,111912.64889834136,104902.6,112891.34
T000001,1994-05-31,139426.5233,124630.62470178977,125156.09224356862,117794.5,124215.016
T000001,1994-06-30,161014.9254,139708.57829712605,141038.63979575862,139187.5,140227.81
T000001,1994-07-31,199405.116,183353.82359789638,184854.63572280185,183571.9,186863.22
T000002,2006-01-31,84685.0,87109.34529857762,85754.35312885923,89162.0,88853.15
T000002,2006-02-28,72779.0,73946.07984829423,70826.92085807455,66728.0,79869.25
T000002,2006-03-31,106548.0,96830.29431109448,92851.17091982656,104864.0,100994.91
T000002,2006-04-30,105057.0,90392.62590648772,83680.02329930238,102253.0,97911.24
T000002,2006-05-31,92703.0,82939.85346336878,74365.45877506242,91564.0,89302.32
T000002,2006-06-30,102484.0,88586.47671456999,79611.7735028397,99782.0,94669.14
T000002,2006-07-31,101753.0,92336.46669663322,82895.47643793272,100335.0,93375.914
T000002,2006-08-31,86872.0,85797.58764361449,75832.33624363987,87455.0,81953.516
T000002,2006-09-30,87775.0,84700.76244804893,74145.47729609351,87126.0,84399.15
T000002,2006-10-31,116104.0,110771.94644744646,99922.23227411414,113382.0,109022.92
T000002,2006-11-30,108333.0,102272.42983527329,91564.55694945011,109339.0,102141.78
T000002,2006-12-31,93932.0,90237.29813798072,78957.63437577772,91099.0,86197.45
T000003,2006-01-31,26049.0,28082.994267650938,27619.717337473558,25621.0,27653.781
T000003,2006-02-28,22309.0,24626.54319666942,24146.324827918263,19333.0,24153.89
T000003,2006-03-31,31849.0,30764.61977300211,29628.83276969051,29124.0,30468.742
T000003,2006-04-30,28788.0,26341.275402840605,24792.592586690043,26206.0,26733.688
T000003,2006-05-31,26268.0,24858.746430253825,23101.6145826252,24662.0,25958.914
T000003,2006-06-30,21046.0,22547.39174917206,20859.032980187338,20063.0,22372.285
T000003,2006-07-31,28506.0,26353.39837295851,24366.41392461935,24784.0,26435.309
T000003,2006-08-31,25586.0,25368.441052363705,23265.940416231064,23189.0,24308.006
T000003,2006-09-30,21037.0,22782.28487293766,20530.761022548584,20031.0,21828.584
T000003,2006-10-31,33134.0,31677.101090821438,29014.450272972208,31092.0,31701.422
T000003,2006-11-30,36748.0,32943.4542669434,29989.32285454033,33325.0,32292.96
T000003,2006-12-31,34377.0,31682.670415435234,28625.434303792015,31412.0,31302.98
T000004,2006-01-31,48817.0,50263.98312746164,48716.539143997135,44171.0,49967.01
T000004,2006-02-28,35067.0,40611.72523146338,40665.18214611908,28694.0,41278.047
T000004,2006-03-31,44026.0,49021.40660044039,47169.40022649954,41972.0,45659.17
T000004,2006-04-30,51793.0,46657.29917911905,48452.32204113553,44119.0,45943.402
T000004,2006-05-31,42239.0,44076.50699366664,45439.88100211646,39822.0,43535.312
T000004,2006-06-30,48081.0,47575.7875355331,49688.66410534696,47412.0,44611.883
T000004,2006-07-31,46913.0,48285.14562739587,48851.19601099907,46414.0,45230.863
T000004,2006-08-31,39952.0,44377.58705801371,43624.55040865459,39951.0,40658.54
T000004,2006-09-30,52498.0,52448.03644006095,50719.04083246591,49662.0,45657.34
T000004,2006-10-31,55218.0,53852.733874576676,51721.35246849264,49482.0,47120.86
T000004,2006-11-30,46420.0,49918.66913876133,48159.41732828131,43546.0,43217.625
T000004,2006-12-31,52909.0,54363.58243830427,53017.08520834295,50332.0,46057.05
T000005,2006-01-31,38689.0,37857.221564015555,37685.43998040842,39292.0,36781.96
T000005,2006-02-28,41460.0,37429.287299436786,37077.50513700346,32350.0,38212.277
T000005,2006-03-31,51059.0,48010.286908671864,47424.64852363983,48773.0,49688.57
T000005,2006-04-30,47601.0,38133.975520774446,37167.07093879436,42371.0,42531.668
T000005,2006-05-31,34785.0,30396.112284425064,29015.634700664486,32204.0,33628.152
T000005,2006-06-30,30895.0,28607.47423238581,27149.305004540958,30396.0,32295.68
T000005,2006-07-31,35205.0,32075.924558066974,30434.91634679961,34089.0,36005.332
T000005,2006-08-31,37240.0,32220.93770295693,30377.872009600447,34031.0,35180.883
T000005,2006-09-30,38076.0,33562.771128548826,31448.561505136826,34931.0,36313.844
T000005,2006-10-31,55525.0,46039.236183167595,43955.59630234998,50028.0,48052.45
T000005,2006-11-30,56107.0,44793.386937250114,42481.75298195271,47097.0,47828.984
T000005,2006-12-31,49853.0,36352.38123821154,33944.73474496194,39039.0,37640.258
T000006,2006-01-31,13582.0,15007.208623299175,14776.285327662474,13921.0,14223.903
T000006,2006-02-28,13898.0,15533.296269213099,14583.00312178008,11658.0,15486.687
T000006,2006-03-31,20853.0,21425.80061962136,20310.209440243496,19017.0,20564.78
T000006,2006-04-30,21487.0,21295.770491537118,20067.755148494725,21023.0,20452.29
T000006,2006-05-31,17042.0,16918.268958531364,15510.171078360963,15987.0,15494.709
T000006,2006-06-30,14432.0,14606.373211276128,13244.682221388137,14039.0,13798.143
T000006,2006-07-31,13884.0,15154.071488463656,13746.224782794377,14740.0,14213.718
T000006,2006-08-31,15733.0,15689.685907774587,14227.345985689779,15158.0,14875.567
T000006,2006-09-30,17889.0,18026.09308392687,16464.62526865168,17561.0,17091.9
T000006,2006-10-31,25661.0,25811.581647315317,24189.514573578188,25464.0,24033.607
T000006,2006-11-30,22243.0,22190.628330295836,20377.983133749265,21276.0,20547.32
T000006,2006-12-31,17133.0,16003.362362345237,14073.155145414054,14781.0,14472.563
T000007,2006-01-31,101602.0,98241.6067210452,102816.73516219344,115957.0,106328.64
T000007,2006-02-28,96283.0,86975.86029166674,100689.12108716823,89686.0,99164.414
T000007,2006-03-31,122773.0,102862.39380931681,107195.31804930027,111183.0,111322.586
T000007,2006-04-30,90793.0,74495.81358996926,100537.54319738918,86179.0,92094.086
T000007,2006-05-31,108542.0,80201.79435767801,104661.41680588145,87988.0,97384.34
T000007,2006-06-30,105770.0,81946.75509516172,102564.91940760869,90343.0,99615.0
T000007,2006-07-31,101269.0,90121.95796314256,109134.74515063842,92029.0,102803.25
T000007,2006-08-31,118692.0,100186.16233195529,111978.35521858187,98053.0,110552.375
T000007,2006-09-30,116977.0,107576.37400826477,119225.79509620494,113458.0,112935.125
T000007,2006-10-31,100137.0,91324.78135710483,110016.99379945923,94237.0,101165.45
T000007,2006-11-30,124450.0,102266.52849738492,118249.17495255846,115049.0,107719.6
T000007,2006-12-31,123823.0,114815.10428012429,123661.3475846113,116686.0,117360.46
T000008,2006-01-31,60723.0,61258.33383608287,58155.3097729668,53643.0,59326.33
T000008,2006-02-28,59013.0,57135.2975330204,53791.83057370065,46151.0,55456.47
T000008,2006-03-31,53903.0,55072.64252977836,51289.305834936065,42506.0,53799.547
T000008,2006-04-30,55107.0,54402.49194315683,56034.421424049244,51457.0,55534.65
T000008,2006-05-31,52803.0,51952.84256747589,53908.14865713864,50832.0,53471.395
T000008,2006-06-30,52135.0,55272.139501700585,57144.149276319135,57555.0,54112.727
T000008,2006-07-31,60239.0,60653.527177296375,58463.74927615898,57983.0,58140.39
T000008,2006-08-31,67950.0,66621.0782220001,60507.27408516083,61937.0,59870.305
T000008,2006-09-30,51784.0,57088.27890370645,54151.37037722397,52034.0,53601.42
T000008,2006-10-31,61284.0,61422.99693098448,57050.78080190487,57183.0,55676.22
T000008,2006-11-30,64470.0,63021.229055272386,56294.67843336006,53115.0,55087.01
T000008,2006-12-31,79203.0,62791.08226899944,57533.25201744468,58084.0,55823.344
T000009,2006-01-31,28043.0,29473.858463181903,29464.595798371658,24135.0,32499.852
T000009,2006-02-28,31437.0,30568.608645680444,30652.863820994942,28869.0,31906.379
T000009,2006-03-31,39736.0,35098.781640492496,35528.071555700844,33975.0,36167.08
T000009,2006-04-30,47661.0,35050.21487974942,35965.37182651551,34869.0,39004.36
T000009,2006-05-31,50590.0,36151.81592223159,37229.4700912964,40199.0,39530.52
T000009,2006-06-30,37780.0,29587.40460052243,30698.1194731232,29526.0,33500.22
T000009,2006-07-31,31373.0,28440.317425925252,29580.20875584454,28405.0,30790.445
T000009,2006-08-31,32064.0,30841.088172435127,32148.76342159442,25474.0,33614.57
T000009,2006-09-30,32145.0,30456.985139089746,31585.21178357733,29863.0,32447.45
T000009,2006-10-31,40353.0,35255.09623918044,36175.84469601246,40207.0,36482.617
T000009,2006-11-30,38108.0,32059.184928411334,32998.216346791436,35064.0,34291.53
T000009,2006-12-31,44751.0,35656.12054607831,36424.71364162985,40463.0,35652.99
T000010,2006-01-31,35157.0,46708.91405079775,44661.035836651354,42725.0,45914.414
T000010,2006-02-28,32322.0,42043.09887387226,39041.164724295115,30387.0,42172.223
T000010,2006-03-31,50716.0,52705.39187498158,49332.32824112642,49847.0,49001.906
T000010,2006-04-30,42163.0,45317.84912777699,41348.97351082062,42913.0,44210.7
T000010,2006-05-31,48696.0,50305.63349525907,45611.62228671469,50758.0,50329.715
T000010,2006-06-30,61703.0,58880.972057713676,53532.55771089923,55060.0,59923.195
T000010,2006-07-31,42044.0,49186.83396285332,43241.27696623354,43856.0,44708.1
T000010,2006-08-31,41766.0,50452.98904017369,43992.16394165636,40969.0,46337.844
T000010,2006-09-30,43908.0,48925.15344931057,41956.98636557331,39583.0,45069.26
T000010,2006-10-31,43530.0,49997.681996761334,42532.90333082034,42535.0,42739.703
T000010,2006-11-30,66014.0,63844.43227031176,55899.87431776491,59952.0,57896.297
T000010,2006-12-31,80455.0,78261.96678576784,69888.85938462347,74745.0,74503.305
T000011,2006-01-31,29155.0,32781.543426649136,32259.34957191444,29397.0,31164.11
T000011,2006-02-28,26432.0,27324.684248602658,25646.300307182937,21529.0,25801.797
T000011,2006-03-31,38097.0,36405.457023315466,34540.34273696162,33489.0,35483.99
T000011,2006-04-30,43065.0,39559.33413662306,37535.460998336646,41010.0,41366.82
T000011,2006-05-31,34595.0,32878.1137520658,30192.96378133003,31832.0,35175.473
T000011,2006-06-30,24807.0,25147.20892974803,21767.148260332786,19905.0,24989.832
T000011,2006-07-31,35816.0,37905.66361023576,34758.75073754717,38182.0,33957.066
T000011,2006-08-31,29093.0,32637.47937656667,28811.706665439266,29347.0,30437.682
T000011,2006-09-30,21865.0,27100.387470369747,22781.703574792868,22825.0,26402.5
T000011,2006-10-31,36590.0,41184.8892040008,37031.26563518176,40198.0,39603.664
T000011,2006-11-30,28370.0,30499.206685277117,25736.030063114733,26281.0,29831.055
T000011,2006-12-31,47647.0,47161.23460636978,42636.13994225338,46417.0,45870.656
T000012,2006-01-31,182465.0,170320.26154173882,172365.72181207215,164183.0,178086.48
T000012,2006-02-28,176180.0,170163.99193534988,173483.2375103742,181479.0,172069.3
T000012,2006-03-31,168138.0,163645.97240388705,168285.6387155832,156370.0,169067.1
T000012,2006-04-30,181765.0,171050.98959136682,181735.43325561995,183531.0,188237.62
T000012,2006-05-31,159505.0,145025.01477902502,166821.00164776627,162382.0,164886.38
T000012,2006-06-30,171757.0,156569.895316307,174800.21022235154,167860.0,172290.58
T000012,2006-07-31,221001.0,201021.15861584773,194336.20179236692,203425.0,200571.27
T000012,2006-08-31,211867.0,203009.74016701698,192484.17646732664,198992.0,198102.45
T000012,2006-09-30,166143.0,173732.38935910325,175091.30007371152,171075.0,169002.14
T000012,2006-10-31,184003.0,191001.08962212777,186628.22659074137,193622.0,189336.62
T000012,2006-11-30,167346.0,170558.14595846937,172280.68525218277,166635.0,169122.06
T000012,2006-12-31,187062.0,183427.35289650748,182261.79291084898,181011.0,181640.66
T000013,2006-01-31,1324888.0,1180269.459658433,1170849.2479786233,1065487.0,1167970.1
T000013,2006-02-28,1141391.0,1077906.7235309263,1097390.4148570914,1041061.0,1161781.5
T000013,2006-03-31,1125564.0,1077539.8316381192,1089820.5371485872,932243.0,1162268.9
T000013,2006-04-30,1109401.0,1027171.4768469919,1057906.938797303,987091.0,1167041.0
T000013,2006-05-31,1045744.0,1044708.6278557004,1067080.604085098,972313.0,1176937.9
T000013,2006-06-30,959404.0,994027.4446123849,1023383.0519516573,885596.0,1190448.1
T000013,2006-07-31,1196987.0,1222274.8259755613,1205220.5749674346,1147076.0,1206069.0
T000013,2006-08-31,1364825.0,1321773.3152614688,1277129.0365061262,1221159.0,1211910.4
T000013,2006-09-30,930532.0,1084441.295194482,1084013.0326025886,925417.0,1213502.4
T000013,2006-10-31,1083361.0,1226503.3782869908,1199669.7960828005,1115023.0,1223482.2
T000013,2006-11-30,1043726.0,1211844.205695168,1182936.0011400813,1070488.0,1233749.0
T000013,2006-12-31,1265519.0,1303493.0426977994,1254771.3780884347,1178446.0,1244689.4
T000014,2006-01-31,8520.78,8873.9650606745,8885.256538478441,8806.55,9034.396
T000014,2006-02-28,8623.44,8546.228585338778,8669.099877506142,7520.2,8617.298
T000014,2006-03-31,9136.74,9309.162686143953,9105.407526947907,8509.7,9139.423
T000014,2006-04-30,8623.44,8000.969345378038,8677.107547091548,8410.75,8736.693
T000014,2006-05-31,8520.78,7815.274494666821,8565.211136598355,8113.9,8543.121
T000014,2006-06-30,8623.44,7987.5123466343375,8681.458416869926,8212.85,8566.173
T000014,2006-07-31,8418.12,8335.32881755301,8724.94325842543,8113.9,8533.096
T000014,2006-08-31,8623.44,8483.376469813413,8639.472270722305,7916.0,8420.86
T000014,2006-09-30,8970.64,8875.258799907944,8635.581175311916,8106.48,8619.477
T000014,2006-10-31,9511.04,9576.254097497687,8983.833670436698,8707.83,9044.736
T000014,2006-11-30,9620.01,9722.620254397769,9225.616281785115,9208.28,9236.285
T000014,2006-12-31,9187.65,9069.05500767155,9060.043300751584,9186.8,8809.125
T000015,2006-01-31,16009.76,13736.799914053929,14053.527330312072,15218.72,14982.3
T000015,2006-02-28,15691.32,13327.014455322987,14009.802982589248,13711.24,14466.213
T000015,2006-03-31,16412.76,14371.51454953568,15200.239925570462,14926.16,14950.807
T000015,2006-04-30,15747.46,12992.558541569577,14478.807466698134,14752.6,14931.382
T000015,2006-05-31,15203.11,12535.335816221645,14298.708570657354,14248.0,14368.699
T000015,2006-06-30,15566.05,12959.462378830067,14648.319259679232,14782.3,14474.678
T000015,2006-07-31,16501.5,14184.597217237198,15581.238861114369,15678.08,14993.315
T000015,2006-08-31,16684.85,14672.102331143877,15766.936397021916,15499.92,14673.37
