unique_id,ds,y,MetaARIMA,AutoARIMA,SeasonalNaive,Chronos2
T000000,1994-09-30,1560.0,2156.3216201774276,2686.1883342238752,4800.0,2380.4302
T000000,1994-10-31,1440.0,2005.5954557525395,1451.6988692427497,3000.0,2428.7358
T000000,1994-11-30,240.0,2005.5954557525395,1862.1387788671132,3120.0,2427.7478
T000000,1994-12-31,1800.0,2005.5954557525395,2246.786155662958,5880.0,2418.0308
T000000,1995-01-31,4680.0,2005.5954557525395,1868.5642371801375,2640.0,2408.594
T000000,1995-02-28,1800.0,2005.5954557525395,1690.9384042384909,2400.0,2445.0312
T000000,1995-03-31,1680.0,2005.5954557525395,1927.8373950389093,2280.0,2459.6958
T000000,1995-04-30,3720.0,2005.5954557525395,1858.9786943048243,480.0,2457.6282
T000000,1995-05-31,2160.0,2005.5954557525395,1703.785585730308,5040.0,2492.7158
T000000,1995-06-30,480.0,2005.5954557525395,1729.8926795519208,1920.0,2486.4666
T000000,1995-07-31,2040.0,2005.5954557525395,1752.668717923138,840.0,2527.2263
T000000,1995-08-31,1440.0,2005.5954557525395,1667.6215551125179,2520.0,2548.9597
T000001,1994-09-30,960.0,1560.1532041879843,1518.6126126648278,1320.0,1063.5409
T000001,1994-10-31,1320.0,1476.3206603020267,1518.5953252360664,2160.0,1099.565
T000001,1994-11-30,1080.0,1570.7151833760627,1518.5780380040999,1200.0,1112.6296
T000001,1994-12-31,1680.0,1521.9584687992974,1518.5607509689262,1800.0,1103.5752
T000001,1995-01-31,1080.0,1588.995606880168,1518.5434641305428,1320.0,1090.5486
T000001,1995-02-28,840.0,1693.7965325685852,1518.5261774889475,600.0,1108.1443
T000001,1995-03-31,840.0,1577.0268125468124,1518.5088910441382,1440.0,1125.7549
T000001,1995-04-30,600.0,1670.4858614683162,1518.4916047961126,840.0,1112.3514
T000001,1995-05-31,1320.0,1544.302592898351,1518.4743187448685,1440.0,1124.4504
T000001,1995-06-30,1320.0,1558.0345485999758,1518.4570328904035,1560.0,1139.0543
T000001,1995-07-31,2280.0,1614.236942217048,1518.4397472327155,1080.0,1148.7539
T000001,1995-08-31,1440.0,1722.2707165768466,1518.4224617718023,360.0,1154.7305
T000002,1994-09-30,4650.0,4128.75307394035,4128.75307394035,8760.0,5369.502
T000002,1994-10-31,2550.0,4929.503057767797,4929.503057767797,5610.0,5442.6475
T000002,1994-11-30,8640.0,4745.292339459338,4745.292339459338,6090.0,5537.2554
T000002,1994-12-31,7680.0,4960.9304404660115,4960.9304404660115,4980.0,5650.621
T000002,1995-01-31,6720.0,4422.362490783928,4422.362490783928,7680.0,5812.5273
T000002,1995-02-28,5190.0,4860.2858180879175,4860.2858180879175,5550.0,5928.781
T000002,1995-03-31,5190.0,4610.9820507529785,4610.9820507529785,6540.0,5984.787
T000002,1995-04-30,5910.0,5072.183304246348,5072.183304246348,4920.0,6100.2915
T000002,1995-05-31,4800.0,5789.49577723422,5789.49577723422,1710.0,6211.121
T000002,1995-06-30,5640.0,5411.783830401349,5411.783830401349,3420.0,6286.879
T000002,1995-07-31,5790.0,4850.904346195778,4850.904346195778,5910.0,6394.696
T000002,1995-08-31,4230.0,4641.867847642729,4641.867847642729,6720.0,6495.867
T000003,1994-09-30,5760.0,5823.363317283459,5566.4189715474095,6720.0,5295.615
T000003,1994-10-31,2280.0,5867.0134476850235,5566.4189715474095,7500.0,5283.41
T000003,1994-11-30,12300.0,5666.91460385471,5566.4189715474095,4880.0,5295.0977
T000003,1994-12-31,8800.0,5899.085926366861,5566.4189715474095,7780.0,5295.175
T000003,1995-01-31,9660.0,5614.048101480572,5566.4189715474095,4360.0,5312.1025
T000003,1995-02-28,5860.0,5641.324377722273,5566.4189715474095,4640.0,5370.2983
T000003,1995-03-31,6600.0,5879.5561736578575,5566.4189715474095,7420.0,5407.5728
T000003,1995-04-30,8100.0,5593.196585542989,5566.4189715474095,4260.0,5397.0063
T000003,1995-05-31,7760.0,5473.9685249919785,5566.4189715474095,2740.0,5467.2104
T000003,1995-06-30,6940.0,5507.658121094563,5566.4189715474095,3200.0,5510.584
T000003,1995-07-31,8020.0,5854.74043166695,5566.4189715474095,7140.0,5581.2363
T000003,1995-08-31,6400.0,5811.988049846397,5566.4189715474095,6960.0,5658.6396
T000004,1994-09-30,9550.0,8538.929932481431,8098.03864176959,11150.0,8025.615
T000004,1994-10-31,6450.0,8003.0994301498695,8098.03864176959,7250.0,7866.877
T000004,1994-11-30,9800.0,7783.271531757434,8098.03864176959,5650.0,8014.0605
T000004,1994-12-31,12450.0,8655.713503502413,8098.03864176959,12000.0,8248.51
T000004,1995-01-31,10050.0,8593.88690707954,8098.03864176959,11550.0,8351.842
T000004,1995-02-28,8400.0,8030.577917448924,8098.03864176959,7450.0,8403.563
T000004,1995-03-31,10000.0,8016.838673799397,8098.03864176959,7350.0,8377.742
T000004,1995-04-30,10950.0,7900.055102778416,8098.03864176959,6500.0,8604.958
T000004,1995-05-31,10700.0,7377.963844096381,8098.03864176959,2700.0,8719.017
T000004,1995-06-30,8800.0,8202.318463068015,8098.03864176959,8700.0,8751.127
T000004,1995-07-31,7550.0,8277.884303140416,8098.03864176959,9250.0,8868.344
T000004,1995-08-31,8800.0,8415.276739635689,8098.03864176959,10250.0,9161.854
T000005,1994-09-30,3150.0,2798.4657964334897,2121.4288101279126,1350.0,2207.2458
T000005,1994-10-31,2700.0,1436.6237487114386,469.3733904231633,2100.0,1811.9391
