unique_id,hurst,series_length,unitroot_pp,unitroot_kpss,hw_alpha,hw_beta,hw_gamma,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_pacf5,diff1x_pacf5,diff2x_pacf5,seas_pacf,nonlinearity,lumpiness,alpha,beta,arch_acf,garch_acf,arch_r2,garch_r2,flat_spots,entropy,crossing_points,arch_lm,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1
M1,,56,-66.56211682255909,0.29970162434027814,0.11121043631980099,3.6587460663836465e-13,5.935464183632772e-12,0.16121259996281842,1,12,0.2633869445700353,0.0001673121431752419,-0.334970333817742,-1.9943851679982205,-0.3310939482919262,0.3190772424502817,0.3635712214501907,7,7,0.14908651231577288,0.7848098278708698,1.276656960858557,-0.004577449287541996,0.4167879667570027,0.3743749688046927,0.10169880188490876,0.0,,,,,3,0.8687807248484931,30,0.2520756706216065,-0.09843738896671099,0.15765557230414481,-0.59330073599254,0.4154053318860692,-0.6974652807944887,0.5809137572764635,-0.04714323951204105
M10,0.5888432894068577,56,-35.651527310674034,0.03673504923779882,1.49012343200795e-08,1.3090379238838486e-08,2.4897482273758022e-12,0.018147763747484353,1,12,0.08110446089636436,0.0001823986450659474,0.860658458745168,0.06331048761380428,0.3231681778199097,0.6976886366231438,0.5499382051892191,1,6,0.15567315233069143,0.2215601107500736,0.7103064355542492,0.12163089034958022,0.44381574567717863,0.2002161718761335,1.4901161193847656e-08,1.4901161193847656e-08,,,,,3,0.8070889431559385,28,0.2441092536338516,0.29337245417133734,0.39237910577784935,-0.23063372783591818,0.21420909314416478,-0.5131496498835282,0.35865590405919157,0.20299415800868123
M100,0.9560932239282913,57,-30.156823594514268,1.3172854771321794,0.12408550076652836,0.12408550076652836,0.0,0.6692788638527798,1,12,0.7717161174808694,1.9264322333466417e-05,-5.1992202631075255,1.6064697538061967,-0.08435776537464909,0.17500761967416129,0.6209982963213243,1,2,0.34844946097223223,0.2457812945552661,0.553289958532679,0.12326180694924534,0.5034041873868562,0.07713251105627701,0.10128196581395625,0.10128196581395625,,,,,5,0.7622036081620346,13,0.5481897035875662,0.4706993355861473,1.3014495100780288,-0.32086951955163934,0.37725158191002345,-0.5022640120495344,0.6931370057082042,0.36388850087844204
M1000,0.9974908732802601,122,0.07486875721635451,2.149943822130299,0.9634221906627773,2.6251980923839752e-15,6.902235270801404e-16,1.02147510124503,1,12,0.9840887767768302,4.954370786729262e-08,9.68863881645998,3.1983819176348516,0.5881855339500576,0.9252168748829174,0.11095445383890201,9,3,0.9574686698900039,0.06726611745169758,0.5666232853014137,-0.005517484780603467,0.050689979811843935,0.0004137116026534137,0.9243775513224214,6.263262189044747e-16,,,,,11,0.28845296901008105,5,0.9143731338548171,0.9715263844755712,7.295190034975127,-0.0952834739745446,0.10315476879877811,-0.6044068031521589,0.55538193686875,0.6882413709911694
M1001,0.9456508671028322,122,0.13293833616131412,2.287274665194937,0.9999999850988388,0.18792464617539317,2.1563099430543549e-10,1.0276109916666951,1,12,0.9939296270490979,4.318942020984674e-09,10.262285472879082,2.0878660808940963,0.6513497153928235,0.7801747396271086,0.10951612753164663,9,4,0.970823084491315,0.09679673273831531,0.40473810363291673,-0.05369285943403317,0.32799823210452156,0.0006083957451435101,0.9999999850988388,0.17076796420466428,,,,,14,0.36038877201367536,3,0.9695351414259282,0.9776395196900907,7.316319134466438,0.20604368077554527,0.13713388294109113,-0.4919614578138422,0.3446191484034468,0.676333366103797
M1002,0.9470033936458743,122,-1.9618611386989115,2.0232145825445063,0.7878330537425291,0.5334044915230277,2.1344549622060835e-17,0.9915844881851998,1,12,0.9879268301442845,2.2661259244282138e-08,9.825771082511022,-1.3003314197373574,0.7812028587793132,1.54114159676569,0.04690602189283055,1,4,0.9426978912281818,0.308868361466646,0.42400895186759213,0.029027940774591244,0.19663895771888876,0.0026587234114025184,0.7921330810122882,0.527958886750392,,,,,19,0.48476588741618953,3,0.9727044564735681,0.9601370808121037,5.539101262173372,0.38654099772522155,0.6892145443865918,-0.5021904300436455,0.28184061867184834,0.39464379706485153
M1003,0.9683168930816032,122,1.013997349165238,2.023516641699586,0.9999999850988388,0.09190319461821576,1.8204702473760612e-10,1.026291164980925,1,12,0.9942515064823187,4.421434067633296e-09,9.33848596247291,4.712329941270098,0.5816303464458983,0.5740682087491207,0.12502574518432497,9,1,0.9722776436742802,0.05756318481296685,0.4648562794195732,-0.025025213329924554,0.5877224199244029,0.0007783159826399658,0.9999999850988388,0.08676633998484358,,,,,20,0.2662202207820432,3,0.9739364610044591,0.980806077349652,7.70580797788709,0.1491339050111053,0.16771835314643782,-0.534888815355631,0.3697023863750994,0.7098283580269236
M1004,0.8934370057247233,122,-6.205292581655108,1.4504554763990192,0.9535522633374933,0.049230308805878156,4.317212410514954e-15,1.0133618241445008,1,12,0.9733269130229203,2.0032879368403285e-07,7.691532607105237,-6.218904844518261,0.5310205889451148,0.5961355587198539,0.14491160291743188,12,4,0.917846982151244,0.043794125018843964,0.5684189879258397,0.07877235783452366,0.23428192726700953,0.009952166231187633,0.9293816951803705,0.04973746498099769,,,,,21,0.4238882653077324,12,0.7309278570074234,0.9488161230685855,5.09885004360445,-0.013254805074149686,0.11831243451629311,-0.5453739936368458,0.4674777597382338,0.37995386928765623
M1005,0.9770657439670257,122,-2.5879995429823897,2.1727095001026537,0.9999999850988388,0.16463224765186268,1.3969839569996996e-10,1.0625933280282502,1,12,0.9915295971578577,7.832116807982033e-09,9.82023700592122,-2.4240582123074335,0.6729500227396819,0.8822827862386019,0.10080247800169151,9,3,0.9578570838545581,0.10194369149914559,0.4017003006014435,-0.01710308124904402,0.2231718865014605,0.001391135054276661,0.9999999850988388,0.14849895755945158,,,,,13,0.3150226418164054,1,0.9198702275597681,0.9746675433868908,7.20174216257416,0.2044161985960834,0.21829114618270928,-0.5087832500754451,0.44387415750867565,0.6593808109727575
M1006,0.969087306496055,122,-1.80643033088261,2.0280966430277942,0.9999999850988388,0.4015739197422938,1.1620844043797217e-08,1.0697243096250153,1,12,0.9941614171614407,4.388928646963703e-09,9.404478020043822,-0.44511635086409657,0.7816958806221919,1.3023125117404106,0.05691378931731439,11,3,1.03623190023174,0.5258113657951972,0.45146363409614587,-0.03758238009992083,0.3779225038609394,0.0018537229125039887,0.8598500277308141,0.5515881906461179,,,,,12,0.2679471686520977,3,0.9702163411288314,0.9868362976672326,7.732451167895132,0.5414468607580113,1.2522471962699704,-0.45373435731117934,0.5249754825071516,0.6809846748479124
